date,avg_co,co_resid,wind_power_dir_avg,power_norm,speed_norm
21apr2001,1.116667,.1846988,211.8215,178.1805,67.58807
22apr2001,1.304167,.4288304,168.4597,37.91782,25.17711
23apr2001,1.104348,.2274165,230.6005,319.8439,85.19129
24apr2001,1.416667,.6808056,299.2983,70.57115,37.10465
25apr2001,1.833333,1.092751,205.4954,19.00841,32.09811
26apr2001,1.520833,.6280167,219.2047,94.8672,58.01852
27apr2001,1.025,.2300052,40.67289,67.72702,45.89408
28apr2001,1.608333,.8041816,96.53556,20.12576,30.47224
29apr2001,1.516667,.6413304,162.265,39.84879,47.09504
30apr2001,1.495833,.4949968,210.4195,37.54161,42.01524
01may2001,.9782609,.470339,210.0682,128.2269,66.17366
02may2001,.95,.4373572,209.7554,83.87032,60.65438
03may2001,.7666667,.2589927,216.0768,45.92731,46.06818
04may2001,.7,.3713524,26.81686,43.59021,43.78663
05may2001,1.233333,.8955289,84.24313,53.23203,50.95409
06may2001,1.745833,1.336844,135.172,21.53201,34.49588
07may2001,1.204348,.7937638,228.0321,40.6348,37.93604
08may2001,1.020833,.594116,251.3963,116.9576,56.52283
09may2001,1.0875,.5748572,207.8378,43.55793,45.37637
10may2001,.95625,.448576,219.4697,77.6119,54.00795
11may2001,.5791667,.1654036,355.2353,30.90714,26.99979
12may2001,.7375,.4290828,22.17917,63.2377,51.56785
13may2001,1.95,1.668827,212.4157,2.804363,10.92652
14may2001,1.708333,1.382865,147.6644,59.55854,44.15343
15may2001,1.375,.7812426,236.5861,56.67587,47.49444
16may2001,1.091667,.4931883,150.6208,3.832281,7.013892
17may2001,1.634783,1.127109,238.6909,8.539341,12.41225
18may2001,1.170833,.7570703,29.48112,67.81232,52.18652
19may2001,1.0375,.61458,48.95097,19.06324,33.83455
20may2001,1.7625,1.353511,128.5542,53.45891,47.70535
21may2001,1.395652,.9850681,243.1559,67.75555,38.63832
22may2001,1.479167,1.180265,253.1585,92.47511,57.92072
23may2001,1.725,1.450765,204.4265,28.08991,33.89872
24may2001,1.670833,1.401567,164.9884,13.06265,18.50762
25may2001,1.869565,1.570305,245.0198,1.610483,5.545635
26may2001,1.479167,1.170749,52.81069,29.91525,20.42232
27may2001,1.525,1.273214,305.1078,40.19722,25.43158
28may2001,1.725,1.399531,322.9685,2.716142,10.13144
29may2001,1.195833,.8969321,34.93819,60.20198,46.64775
30may2001,1.1,.8257651,64.34538,37.23828,43.56408
31may2001,1.770833,1.501567,107.2934,50.66418,47.45823
01jun2001,1.195455,.6378095,252.1024,47.23221,41.0072
02jun2001,1.016667,.479252,281.5636,57.40441,48.45835
03jun2001,1.241667,.7608835,29.86352,10.42338,17.52681
04jun2001,.9458333,.4207545,44.485,41.62708,45.03155
05jun2001,1.3125,.8139886,87.51996,52.07157,34.71664
06jun2001,1.091667,.559047,44.51848,13.72125,28.90305
07jun2001,1.182609,.6549578,36.77803,6.576887,23.92026
08jun2001,1.9375,1.294739,81.56454,14.34033,30.71882
09jun2001,2.120833,1.426215,257.3634,12.51196,27.78149
10jun2001,1.241667,.5224756,230.9649,81.41672,54.3483
11jun2001,1.758333,.909011,113.305,10.44796,15.43159
12jun2001,1.670833,.8480784,166.0758,14.10728,19.41766
13jun2001,1.416667,.5891907,188.8349,56.16153,49.37024
14jun2001,1.241667,.4191595,187.6297,61.22827,49.68571
15jun2001,1.334783,.6493214,259.7628,50.15254,37.03765
16jun2001,1.608333,.7466751,258.3693,35.31728,34.95746
17jun2001,1.916667,1.11164,212.8757,20.62761,30.14771
18jun2001,1.616667,.7673444,207.0282,124.3634,62.64436
19jun2001,1.230435,.4935154,242.8285,47.7704,20.34702
20jun2001,1.630435,.9699989,86.00705,7.403287,17.47493
21jun2001,1.633333,1.105682,36.06934,14.38909,24.60188
22jun2001,1.491667,.9340216,57.66839,20.77205,29.14121
23jun2001,2.0625,1.410583,62.91381,10.48392,16.11535
24jun2001,2.241667,1.60368,186.0031,13.57222,28.16313
25jun2001,2.216667,1.45318,200.5935,18.57254,33.85836
26jun2001,2.25,1.427245,123.9942,15.93275,25.57781
27jun2001,2.334783,1.507307,144.1824,14.23926,28.33184
28jun2001,2.2,1.377493,165.0519,10.98762,25.72584
29jun2001,1.920833,1.068332,225.9346,18.40641,33.14678
30jun2001,1.5875,.7258418,248.2387,36.90196,42.06214
01jul2001,.8916667,.4705774,39.44258,99.38889,48.2575
02jul2001,1.495833,1.073149,98.67406,21.67683,27.95412
03jul2001,1.608696,1.169878,238.7948,43.86582,44.82076
04jul2001,1.108333,.4977548,296.2161,42.90859,37.54646
05jul2001,1.15,.754131,35.75939,36.40005,32.88612
06jul2001,1.741667,1.273103,200.0496,26.65772,37.92144
07jul2001,1.3375,.7785747,218.3887,37.55353,37.26543
08jul2001,1.691667,1.103537,95.35506,10.68792,11.75617
09jul2001,1.541667,.9092417,33.03404,12.88873,13.59993
10jul2001,.9826087,.3767511,32.01098,20.78747,16.27312
11jul2001,1.004348,.5608093,62.58863,47.58515,47.38008
12jul2001,1.333333,.8947637,70.73936,32.97163,27.99181
13jul2001,1.375,.9064361,40.42305,29.15746,29.46442
14jul2001,1.479167,.9202414,82.95496,9.592844,4.49222
15jul2001,1.845833,1.257704,245.0285,13.02253,27.04856
16jul2001,1.682609,1.136019,204.2532,20.4311,34.72062
17jul2001,1.729167,1.209145,135.2952,2.89933,11.47574
18jul2001,1.554167,1.029424,102.0668,5.947497,21.77027
19jul2001,1.9875,1.38189,109.6824,15.842,22.69495
20jul2001,1.775,1.139396,109.1797,8.692513,13.86091
21jul2001,1.195833,.5510725,208.9008,7.159242,19.52963
22jul2001,1.177083,.5889541,12.63063,4.102635,14.60629
23jul2001,1.630435,.9980098,191.4449,15.79796,29.97961
24jul2001,1.583333,.9774757,95.20507,13.52118,18.04444
27jul2001,1.354167,.8856028,89.96229,41.16115,45.30186
28jul2001,1.841667,1.363946,170.0557,12.58743,29.87092
29jul2001,1.058333,.470204,99.84861,2.873801,1.91161
30jul2001,1.6,.9675751,87.65936,16.97364,30.17047
31jul2001,1.725,1.119142,196.8813,23.71702,35.95047
01aug2001,1.504167,1.093271,211.1909,33.32767,41.70086
02aug2001,1.491667,1.171576,234.262,3.867821,8.345781
03aug2001,.9333333,.583248,65.40375,14.62329,26.43186
04aug2001,1.2875,.9282578,77.00369,10.29799,18.08451
05aug2001,1.8,1.411554,202.0255,7.921005,23.84764
06aug2001,1.547826,1.115084,236.9288,13.2934,30.23034
07aug2001,1.229167,.822992,261.433,28.04829,37.73416
08aug2001,1.433333,1.022438,236.3677,20.68576,35.01025
09aug2001,1.354167,.9482399,235.918,25.28886,33.91257
10aug2001,.5583333,.2894524,29.20442,69.50525,49.68321
11aug2001,.7875,.5094622,42.33122,21.84239,33.4406
12aug2001,1.166667,.8640559,273.3575,2.137885,13.41251
13aug2001,.6,.3342981,20.22928,60.19468,45.06516
14aug2001,1.091667,.8525321,36.33334,17.24117,19.87344
15aug2001,1.6375,1.393645,177.3172,8.801393,18.22806
16aug2001,1.066667,.8704807,252.8014,25.94921,28.44424
17aug2001,1.104167,.8352857,275.7189,25.85019,37.18095
18aug2001,1.520833,1.285496,203.1395,8.117572,23.48421
19aug2001,.4145833,.2358777,348.6765,57.03726,43.85457
